	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-15b-5p	26.4708512347845	46.4252553389044	19.5341160955399	28.9179951610555	16.5735056912931	18.72380072184	25.1914182695467	21.0280356285017	43.1122229019271	38.1889999498365
mmu-miR-10b-3p	26.4708512347845	44.4908696997833	33.3509299192145	53.2699910861548	27.7849948354032	38.5710294869903	41.2555110791127	30.5407184128239	43.6224267232517	46.6035253625123
mmu-miR-181d-5p	26.1480359758237	28.2903899721448	28.5865113593267	26.6349955430774	27.0538107607873	23.5919889095184	23.0008601591513	19.7763668410909	28.1887611281831	37.7035465606436
mmu-miR-471-5p	25.1795901989414	61.9003404518725	49.0735111668442	39.0646601298469	36.5592037307936	30.7070331838175	29.9376275087367	22.7803719308768	45.4081400978877	48.8689745120789
mmu-let-7d-3p	25.1795901989414	51.2612194367069	24.7749765114165	50.2259915955174	21.9355222384762	28.0857010827599	32.8583716559305	31.5420534427526	41.0714076166288	47.574432140898
mmu-miR-878-5p	24.8567749399806	28.532188177035	31.9216043512482	26.3813289188576	22.4229782882201	18.3493247074032	23.7310461959498	11.2650190866973	20.9183566743078	27.8326609803893
mmu-miR-181b-5p	24.5339596810198	48.1178427731353	32.8744880632257	31.7083280274731	30.9534591587386	20.596180794024	22.6357671407521	27.7870470805201	35.3316146267272	49.3544279012717
mmu-miR-672-5p	22.9198833862159	21.2782420303312	16.1990231036185	14.205330956308	18.5233298902688	13.8556125341616	15.6989997911668	18.5246980536801	38.7754904206682	31.3926525011368
mmu-miR-669c-5p	22.5970681272551	20.3110492107707	20.0105579515287	18.2639969438245	14.1362254425735	7.11504427429919	11.6829765887753	14.5193579339655	37.2448789566944	27.5090253875941
mmu-miR-9-5p	21.9514376093335	39.6549056019808	34.7802554871809	29.425328409495	30.2222750841227	28.4601770971967	31.7630926007328	21.7790369009482	29.846923547488	48.2217033264884
mmu-miR-434-3p	21.6286223503727	20.3110492107707	22.8692090874614	41.0939931236052	22.4229782882201	24.7154169528288	27.3819763799421	13.2676891465546	23.9795796022553	28.803567758775
mmu-miR-223-3p	21.3058070914119	44.4908696997833	19.0576742395512	37.0353271360886	12.6738572933418	14.2300885485984	29.9376275087367	21.7790369009482	32.9081464754355	29.7744745371606
mmu-miR-690	21.3058070914119	44.0072732900031	40.0211159030574	53.2699910861548	26.3226266861714	37.8220774581167	30.6678135455351	50.3170852539148	52.5509935964318	54.3707795895977
mmu-miR-574-3p	20.9829918324511	14.9914887031879	23.8220927994389	29.9326616579346	15.5985935918053	23.5919889095184	19.7150229935583	20.7777018710195	29.846923547488	32.6871948723177
mmu-miR-142a-3p	20.0145460555688	55.1299907149489	29.0629532153155	28.9179951610555	20.9606101389883	29.2091291260703	25.1914182695467	19.7763668410909	10.2040764264916	22.3308559028705
mmu-miR-29c-3p	19.3689155376472	26.3560043330238	19.2958951675455	15.4736640774069	19.0107859400127	19.0982767362768	12.2306161163741	18.6498649324211	22.1938662276193	22.6544914956657
mmu-miR-28a-3p	19.0461002786864	26.1142061281337	16.1990231036185	26.3813289188576	19.9856980395005	20.9706568084608	21.5404880855544	15.0200254489298	21.938764316957	26.5381186092084
mmu-miR-142a-5p	19.0461002786864	40.6220984215413	20.4869998075175	33.9913276454512	17.5484177907809	17.6003726785296	24.8263252511475	24.0320407182877	23.2142738702684	23.9490338668466
mmu-miR-125b-2-3p	18.7232850197256	25.6306097183535	29.5393950713043	32.976661148572	21.9355222384762	18.72380072184	17.1593718647637	14.2690241764833	18.3673375676849	26.5381186092084
mmu-miR-455-5p	18.7232850197256	19.3438563912102	17.151906815596	18.7713301922641	19.9856980395005	11.9832324619776	15.3339067727676	13.2676891465546	15.3061146397374	16.5054152325564
mmu-miR-345-5p	18.0776545018041	15.4750851129681	17.151906815596	20.2933299375828	14.1362254425735	12.7321844908512	13.8735346991707	12.0160203591438	13.2652993544391	14.5636016757851
mmu-miR-28a-5p|mmu-miR-28c	17.2706163544021	18.1348653667595	12.3874882557083	25.6203290461983	15.3548655669333	12.5449464836328	14.7862672451687	16.6471948725638	24.7448853342422	24.7581228488347
mmu-miR-378c	16.840196009121	24.0992210873826	22.0751393274801	32.3002168173193	18.9295432650554	15.447135595518	15.7598486275667	15.8961936001174	18.3248205825745	30.2868975590864
mmu-miR-24-2-5p	16.7863934659609	28.532188177035	36.686022911136	33.4839943970116	29.7348190343788	31.8304612271279	32.128185619132	15.7710267213763	21.6836624062947	30.0981101299559
mmu-miR-204-5p	16.6249858364805	20.7946456205509	20.9634416635063	32.4693279001325	17.060961741037	14.2300885485984	15.6989997911668	21.2783693859839	31.7601878774552	35.4380974110771
mmu-miR-106b-5p	16.4635782070001	21.7618384401114	11.9110463997195	19.7859966891432	8.77420889539047	10.1108523897936	11.6829765887753	8.76168151187571	17.602031835698	17.7999576037373
mmu-miR-224-5p	16.4635782070001	29.9829774063757	21.439883519495	32.976661148572	15.5985935918053	13.106660505288	25.5565112879459	16.0213604788584	30.1020254581503	31.716288093932
mmu-miR-30c-5p	16.3021705775197	37.9623181677499	21.6781044474894	38.5573268814073	27.2975387856592	26.0260830033576	37.6045808951205	16.6471948725638	28.3163120835142	32.8490126687153
mmu-miR-1198-5p	15.8179476890785	24.1798204890127	10.4817208317531	23.3373294282202	7.31184074615872	9.73637637535678	7.66695338638378	18.7750318111622	18.1122356570226	22.9781270884609
mmu-miR-126a-5p	15.8179476890785	24.1798204890127	20.4869998075175	27.3959954157368	26.8100827359153	15.7279926063456	19.3499299751591	18.2743642961979	27.8061082621897	39.8071779138126
mmu-miR-19a-3p	15.8179476890785	22.2454348498917	18.343011455568	23.3373294282202	17.304689765909	14.7918025702536	18.6197439383606	6.25834393705408	14.2857069970883	19.7417711605087
mmu-miR-30c-2-3p	15.8179476890785	26.597802537914	15.2461393916409	17.2493304469454	17.5484177907809	11.234280433104	16.064092809566	10.0133502992865	16.0714203717243	13.5926948973994
mmu-miR-1843a-5p|mmu-miR-1843b-5p	15.6565400595982	17.6512689569793	18.5812323835624	18.5176635680443	15.1111375420614	14.7918025702536	12.0480696071745	10.5140178142509	13.7755031757637	15.858144046966
mmu-miR-135a-5p	15.4951324301178	18.8602599814299	16.6754649596073	19.7859966891432	13.6487693928296	16.1024686207824	11.3178835703761	17.7736967812336	21.1734585849701	34.3053728362938
mmu-miR-324-3p	14.5266866532354	27.5649953574745	12.3874882557083	16.7419971985058	14.1362254425735	11.234280433104	8.03204640478301	14.0186904190011	21.938764316957	19.7417711605087
mmu-miR-463-5p	14.5266866532354	19.3438563912102	11.9110463997195	18.7713301922641	10.2365770446222	14.6045645630352	9.85751149677915	9.01201526935787	21.6836624062947	24.5963050524371
mmu-miR-883b-3p	14.2038713942746	11.1227174249458	10.4817208317531	16.7419971985058	12.6738572933418	8.61294833204638	8.76223244158147	10.5140178142509	21.4285604956324	16.8290508253517
mmu-miR-1981-5p	12.5897950994707	5.31956050758279	9.52883711977558	12.6833312109892	11.21148914411	10.4853284042304	5.84148829438764	7.00934520950057	10.2040764264916	9.70906778385673
mmu-miR-122-5p	12.2669798405099	24.6634168987929	11.9110463997195	7.60999872659355	1.94982419897566	7.86399630317279	32.128185619132	1.50200254489298	19.1326432996718	33.6581016507033
mmu-miR-471-3p	11.9441645815491	5.31956050758279	7.14662783983168	9.63933172035182	7.79929679590264	7.86399630317279	10.2226045151784	5.50734266460759	10.4591783371539	7.44361863429016
mmu-miR-345-3p	11.6213493225883	26.1142061281337	14.7696975356521	12.1759979625497	9.26166494513438	13.4811365197248	9.49241847837992	9.76301654180436	14.030605086426	21.3599491244848
mmu-miR-411-5p	11.6213493225883	14.0242958836274	17.6283486715848	28.4106619126159	15.1111375420614	13.4811365197248	17.5244648831629	10.2636840567687	13.0101974437768	17.7999576037373
mmu-miR-340-3p	11.2985340636275	15.4750851129681	10.4817208317531	15.7273307016267	10.7240330943661	9.36190036091998	10.2226045151784	8.51134775439355	18.8775413890095	19.4181355677135
