	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-181d-5p	81	58.5	60	52.5	55.5	63	63	79	110.5	116.5
mmu-miR-471-5p	78	128	103	77	75	82	82	91	178	151
mmu-let-7d-3p	78	106	52	99	45	75	90	126	161	147
mmu-miR-878-5p	77	59	67	52	46	49	65	45	82	86
mmu-miR-181b-5p	76	99.5	69	62.5	63.5	55	62	111	138.5	152.5
mmu-miR-672-5p	71	44	34	28	38	37	43	74	152	97
mmu-miR-669c-5p	70	42	42	36	29	19	32	58	146	85
mmu-miR-9-5p	68	82	73	58	62	76	87	87	117	149
mmu-miR-434-3p	67	42	48	81	46	66	75	53	94	89
mmu-miR-223-3p	66	92	40	73	26	38	82	87	129	92
mmu-miR-690	66	91	84	105	54	101	84	201	206	168
mmu-miR-574-3p	65	31	50	59	32	63	54	83	117	101
mmu-miR-142a-3p	62	114	61	57	43	78	69	79	40	69
mmu-miR-29c-3p	60	54.5	40.5	30.5	39	51	33.5	74.5	87	70
mmu-miR-28a-3p	59	54	34	52	41	56	59	60	86	82
mmu-miR-142a-5p	59	84	43	67	36	47	68	96	91	74
mmu-miR-125b-2-3p	58	53	62	65	45	50	47	57	72	82
mmu-miR-455-5p	58	40	36	37	41	32	42	53	60	51
mmu-miR-345-5p	56	32	36	40	29	34	38	48	52	45
mmu-miR-28a-5p|mmu-miR-28c	53.5	37.5	26	50.5	31.5	33.5	40.5	66.5	97	76.5
mmu-miR-378c	52.1666666666667	49.8333333333333	46.3333333333333	63.6666666666667	38.8333333333333	41.25	43.1666666666667	63.5	71.8333333333333	93.5833333333333
mmu-miR-24-2-5p	52	59	77	66	61	85	88	63	85	93
mmu-miR-204-5p	51.5	43	44	64	35	38	43	85	124.5	109.5
mmu-miR-106b-5p	51	45	25	39	18	27	32	35	69	55
mmu-miR-224-5p	51	62	45	65	32	35	70	64	118	98
mmu-miR-30c-5p	50.5	78.5	45.5	76	56	69.5	103	66.5	111	101.5
mmu-miR-1198-5p	49	50	22	46	15	26	21	75	71	71
mmu-miR-126a-5p	49	50	43	54	55	42	53	73	109	123
mmu-miR-19a-3p	49	46	38.5	46	35.5	39.5	51	25	56	61
mmu-miR-30c-2-3p	49	55	32	34	36	30	44	40	63	42
mmu-miR-1843a-5p|mmu-miR-1843b-5p	48.5	36.5	39	36.5	31	39.5	33	42	54	49
mmu-miR-135a-5p	48	39	35	39	28	43	31	71	83	106
mmu-miR-324-3p	45	57	26	33	29	30	22	56	86	61
mmu-miR-463-5p	45	40	25	37	21	39	27	36	85	76
mmu-miR-883b-3p	44	23	22	33	26	23	24	42	84	52
mmu-miR-1981-5p	39	11	20	25	23	28	16	28	40	30
mmu-miR-122-5p	38	51	25	15	4	21	88	6	75	104
mmu-miR-471-3p	37	11	15	19	16	21	28	22	41	23
mmu-miR-345-3p	36	54	31	24	19	36	26	39	55	66
mmu-miR-411-5p	36	29	37	56	31	36	48	41	51	55
mmu-miR-340-3p	35	32	22	31	22	25	28	34	74	60
mmu-miR-31-3p	34	39	60	39	32	65	55	29	57	23
mmu-miR-1843b-5p	34	40.5	38	42.5	28	47.5	39	51.5	63	59.5
mmu-miR-497a-5p	34	16	19	24	25	19	17	33	50	31
mmu-let-7a-1-3p|mmu-let-7c-2-3p	32	53	31	42	20	32	45	65	103.5	90.5
mmu-miR-467a-5p|mmu-miR-467b-5p	32	31	21	35	25	34	23	45	51	43
mmu-miR-140-5p	32	56	41	42	33	40	51	52	61	47
mmu-miR-34b-5p	31	25	32.5	16	22.5	31	28.5	17.5	21	36
mmu-miR-541-5p	31	32	30	35	12	29	35	40	46	70
mmu-miR-374b-5p	31	16	20	24	24	36	27	23	36	30
mmu-miR-878-3p	30	27	33	16	26	18	15	36	68	31
mmu-miR-130a-3p	30	26	24	35	30	23	29	33	49	37
mmu-miR-3068-3p	29	18	10	13	11	13	14	35	33	25
mmu-miR-484	29	54	17	37	20	26	22	62	74	72
mmu-miR-467e-5p	28	22	11	10	10	13	17	22	32	19
mmu-miR-669a-3p|mmu-miR-669o-3p	27.3333333333333	26	30.3333333333333	19	19	23	16	18.8333333333333	41.3333333333333	23
mmu-miR-362-3p	26	26	17	17	20	29	34	26	33	38
mmu-miR-434-5p	25	36	46.5	57	22	39	39	35	52	60
mmu-miR-148a-5p	24	32	26	20	19	32	16	33	60	38
mmu-miR-425-3p	24	35	19	33	14	15	19	38	36	35
mmu-miR-22-5p	23	34	26	30	24	32	36	36	57	45
mmu-miR-382-5p	23	16	19	13	13	15	14	20	36	19
mmu-miR-671-5p	23	11	8	5	12	9	6	19	27	23
mmu-miR-18a-5p	22	11	4	13	15	11	6	9	24	17
mmu-miR-421-3p	22	20	23	17	10	21	21	18	42	32
mmu-miR-300-3p	22	17	28	26	22	27	14.5	26	17	19
mmu-miR-134-5p	21	19	18	30	13	19	13	23	35	26
mmu-miR-297a-3p|mmu-miR-297b-3p|mmu-miR-297c-3p	21	18	25	18	12	12	19	17	49	23
mmu-miR-381-3p	21	17	57	40	21	28	37.5	14	21	21
mmu-miR-214-5p	21	16	5	16	11	13	18	24	25	27
mmu-miR-743b-5p	20	20	20	20	13	15	12	12	28	22
mmu-miR-708-5p	20	25	9	9	7	10	17	38	31	9
mmu-miR-221-5p	20	18	9	12	11	8	11	22	19	28
mmu-miR-664-3p	20	20	8	12	14	14	17	20	32	20
mmu-miR-181c-5p	20	24	12	16	17	14	17	15	34	32
mmu-miR-133b-3p	19	39.5	12	13	20	9	10.5	18.5	19.5	29.5
mmu-miR-3970	18.5	20	21.5	30	17.5	24	23	42.5	24	42
mmu-miR-149-5p	18	9	10	13	10	11	6	32	38	35
mmu-miR-409-3p	18	15	14	12	3	15	7	16	46	31
mmu-miR-125b-5p	17	25	7	26	8	14	15	47	42	58
mmu-miR-92b-3p	17	7	10	9	10	6	4	23	30	28
mmu-miR-132-3p	17	5	16	15	9	15	8	20	13	14
mmu-miR-329-5p	16	13	15	10	8	6	10	20	21	23
mmu-miR-674-3p	16	16	14	9	9	10	17	19	16	26
mmu-miR-451a	16	17	18	35	23	22	11	18	38	23
mmu-miR-467a-3p|mmu-miR-467d-3p	15.3333333333333	14	15.6666666666667	13	9	16	8.33333333333333	17	23	23.8666666666667
