	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu_piR_032165|gb|DQ718406|Mus_musculus:17:27046192:27046217:Minus	2	2	6	3	6	1	2	4	7	7
mmu_piR_032433|gb|DQ718797|Mus_musculus:14:18431213:18431242:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_011731|gb|DQ688487|Mus_musculus:5:113592787:113592816:Plus	2	0	0.5	1	3	0	0	2	0	3
mmu_piR_006171|gb|DQ558439|Mus_musculus:7:125123017:125123046:Minus	2	2	1	1	2	0	0	0	2	1
mmu_piR_010252|gb|DQ686205|Mus_musculus:5:113574886:113574916:Minus	2	2	2	0	3	1	1	2	4	2
mmu_piR_032934|gb|DQ719530|Mus_musculus:18:67188710:67188740:Minus	2	0	1	0	0	0	0	0	1	1
mmu_piR_003177|gb|DQ549008|Mus_musculus:5:113596961:113596990:Plus	2	0	1	0	0	0	1	0	0	1
mmu_piR_028778|gb|DQ713582|Mus_musculus:7:73697375:73697402:Plus	2	2.5	1	3	7.5	1	2	3.5	4.5	0
mmu_piR_014374|gb|DQ692533|Mus_musculus:14:43698815:43698845:Minus	2	0	0	0	0	0	0	0	1	0
mmu_piR_007137|gb|DQ562888|Mus_musculus:15:74467288:74467319:Plus	2	4	10	3	5	1	4	7	8	6
mmu_piR_032046|gb|DQ718216|Mus_musculus:17:27046668:27046695:Minus	2	2	0	0	1	0	0	1	2	3
mmu_piR_015732|gb|DQ694528|Mus_musculus:18:67189344:67189371:Minus	2	0	0	0	0	0	2	0	1	1
mmu_piR_033933|gb|DQ721056|Mus_musculus:15:59105252:59105283:Plus	2	1	1	0	1	0	1	1	1	1
mmu_piR_022952|gb|DQ705137|Mus_musculus:7:69759994:69760024:Minus	2	0	0	2	3	0	1	1	6	2
mmu_piR_014779|gb|DQ693135|Mus_musculus:17:27024534:27024563:Minus	2	0	0	0	0	0	0	1	0	0
mmu_piR_037714|gb|DQ726527|Mus_musculus:15:83184012:83184040:Minus	2	3	0.333333333333333	3	6	2	1	2	9	7
mmu_piR_031124|gb|DQ716923|Mus_musculus:12:98799787:98799816:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_037149|gb|DQ725712|Mus_musculus:6:127762647:127762677:Plus	2	2	3	1	6	2	2	0	5	4
mmu_piR_000768|gb|DQ541401|Mus_musculus:12:98848285:98848312:Plus	2	2.5	2	2.5	4.5	2	0.5	0.5	3.5	2.5
mmu_piR_017959|gb|DQ697808|Mus_musculus:14:43700445:43700473:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_020300|gb|DQ701295|Mus_musculus:6:127753832:127753851:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_022199|gb|DQ704062|Mus_musculus:9:67523717:67523744:Minus	2	0	0	0	0	0	1	0	0	0
mmu_piR_008441|gb|DQ567458|Mus_musculus:5:113570407:113570438:Minus	2	4	5	2	9	1	5	5	4	4
mmu_piR_020036|gb|DQ700902|Mus_musculus:18:67180564:67180592:Minus	2	1	3	0	2	1	0	1	1.5	1
mmu_piR_016963|gb|DQ696350|Mus_musculus:1:94825975:94826003:Minus	2	3	1	1	5	3	1	1	7	2
mmu_piR_022764|gb|DQ704882|Mus_musculus:4:61710085:61710115:Minus	2	0	1	0	2	0	0	3	2	1
mmu_piR_031151|gb|DQ716962|Mus_musculus:14:43700674:43700705:Minus	2	0	0	1	2	0	0	0	1	2
mmu_piR_035838|gb|DQ723849|Mus_musculus:5:113582606:113582637:Plus	2	0	3	0	1	0	0.5	1	5.5	3
mmu_piR_038372|gb|piRNA_1096|Mus_musculus:17:66052593:66052620:Minus	2	3.5	2	3	1	2.5	0	3	5	4
mmu_piR_029695|gb|DQ714902|Mus_musculus:15:59085357:59085386:Minus	2	0.5	0	0.5	1	1	0	0	0.5	0.5
mmu_piR_034247|gb|DQ721509|Mus_musculus:14:18431632:18431661:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_025403|gb|DQ708710|Mus_musculus:4:134902010:134902038:Plus	1.83333333333333	2	10	2.5	8.33333333333333	2.5	3	3.5	3.5	4
mmu_piR_011371|gb|DQ687951|Mus_musculus:15:59105345:59105374:Plus	1.83333333333333	2.33333333333333	2.5	1.83333333333333	2.66666666666667	0.833333333333333	0.833333333333333	2	6	2.33333333333333
