	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-378c	24.5833333333333	44.5	41.75	48.6666666666667	74.5	28.4166666666667	33.1666666666667	66.3333333333333	80.25	111.5
mmu-miR-15b-5p	24	91	40	60	68	32	40	81	202	136
mmu-miR-345-5p	23	17	34	27	40	16	14	45	68	41
mmu-miR-181b-5p	23	49	28	33	57.5	24	16	71	97	98
mmu-miR-155-5p	23	45	28	45	28	13	26	131	133	83
mmu-miR-224-5p	22	42	38	53	38	34	31	76	111	94
mmu-miR-181d-5p	21	21	19	26	60.5	24	18	48	69	77
mmu-miR-374b-5p	21	23	30	51	46	18	30	34	55.5	54.5
mmu-miR-883b-3p	21	35	24	18	61	19	14	46	95	57
mmu-miR-223-3p	20	57	31	59	34	27	21	62	125	85
mmu-miR-125b-2-3p	19	44	43	38	39	27	36	58	88	79
mmu-let-7a-1-3p|mmu-let-7c-2-3p	19	34	21.5	38	42	14	26	42	95	78
mmu-miR-125b-5p	19	35	22	29	34	7	17	71	100	79
mmu-miR-1843a-5p|mmu-miR-1843b-5p	18.5	26.5	33.5	24	42	25.5	18.5	40	45	37.5
mmu-miR-204-5p	18	28	29	23	53	10	16	54	90	107.5
mmu-miR-411-5p	18	38	58	52	57	18	35	41	58	74
mmu-miR-672-5p	18	22	14	7	30	13	5	52	92	53
mmu-miR-122-5p	18	29	17	12	5	9	38	2	55	80
mmu-miR-31-3p	17	34	46	35	51	28	21	22	47	23
mmu-miR-3535	17	25	26	18	82	22	8	86	76	39
mmu-miR-471-3p	17	14	11	13	22	8	18	22	37	22
mmu-miR-28a-5p|mmu-miR-28c	16.5	51	29.5	36.5	53.5	15.5	25	66.5	115.5	74.5
mmu-miR-297a-3p|mmu-miR-297b-3p|mmu-miR-297c-3p	16	15	30	22	28	16	10	24	63	28
mmu-miR-28a-3p	16	43	36	43	44	20	23	55	82	90
mmu-miR-29c-3p	16	37	43	39.5	75	22	24	72	105	59
mmu-miR-669c-5p	16	19	18	12	14	10	11	50	84	49
mmu-miR-878-3p	15	34	24	12	30	7	8	31	76	54
mmu-miR-455-5p	15	19	31	23	58	13	24	43	55	29
mmu-miR-340-3p	14	21	9	22	21	17	6	40	73	79
mmu-miR-434-5p	14	24	62.5	34	56	24	21	36	49	64
mmu-miR-463-5p	14	12	25	20	30	8	12	31	61	72
mmu-miR-1843b-5p	13	38	28.5	21	41	18.5	17	36	53	59.5
mmu-miR-345-3p	12	37	26	31	34	12	9	36	55	57
mmu-miR-142a-3p	12	50	28	35	70	34	25	53	26	50
mmu-miR-106b-5p	12	27	19	35	31	16	20	46	60	66
mmu-miR-335-3p	12	7	5	5	9	6	4	24	30	23
mmu-miR-324-3p	12	46	27	31	38	14	15	44	75	58
mmu-miR-19a-3p	12	31	27	25	44.5	16	17	21	49	43
mmu-miR-362-3p	12	37	28	32	36	17	20	33	30	44
mmu-miR-669a-3p|mmu-miR-669o-3p	12	12	38	22.3333333333333	36.25	15	16	24.6666666666667	73.8333333333333	42.5
mmu-miR-369-3p	11	10	8	12	13	8	10	10	28	21
mmu-miR-381-3p	11	12	43	26	41	12	25	21	26	25
mmu-miR-30c-2-3p	11	34	31	23	27	12	21	46	71	54
mmu-miR-32-5p	10	15	17	19	33	16	14	12	28	28
mmu-let-7b-3p	10	7	9	6	10	2	4	10	18	23
mmu-miR-135a-5p	10	18	12	10	29	12	12	30	36	46
mmu-miR-425-3p	10	26	12	16	25	13	10	30	59	47
mmu-miR-1981-5p	9	7	6	14	18	15	8	17	23	22
mmu-miR-1198-5p	9	24	7	20	22	8	6	33	68	56
mmu-miR-326-3p	9	16	15	18	49	11	14	29	31	26
mmu-miR-140-5p	9	49	20	24	36	22	17	39	34	50
mmu-miR-382-5p	9	13	6	6	16	6	8	11	39	13
mmu-miR-664-3p	9	17	4	10	19	6	4	13	27	24
mmu-miR-743a-5p	9	15	13	17	26	6	10	22	36	24
mmu-miR-133b-3p	9	34	7	12.5	48	11.5	7	22	23.5	37.5
mmu-miR-134-5p	8	11	16	17	15	9	7	18	32	37
mmu-miR-214-5p	8	6	12	16	19	4	14	28	26	35
mmu-miR-22-5p	8	20	17	18	20	11	13	35	61	62
mmu-miR-409-3p	8	11	10	3	8	4	2	10	32	24
mmu-miR-500-3p	8	3	9	8	4	4	1	9	17	16
mmu-miR-451a	8	6	27	16	13	3	6	14	27	15
mmu-mir-30c-1	7.83333333333333	9.5	0.666666666666667	14.5	20.5	2.5	1	6.16666666666667	4.5	10.5
mmu-miR-466a-3p|mmu-miR-466b-3p|mmu-miR-466c-3p|mmu-miR-466e-3p|mmu-miR-466p-3p	7.5	7.5	15.8333333333333	12.3333333333333	13	7.16666666666667	6.5	11.5	29.6666666666667	27
mmu-miR-30d-3p	7	8	8	4	13	6	9	4	14	16
mmu-miR-34b-5p	7	18	17.5	12	29	20	7.5	12.5	14.5	22.5
mmu-miR-615-3p	7	15	13	20	19	5	6	41	43	71
mmu-miR-148a-5p	7	30	24	24	30	15	15	35	62	32
mmu-miR-467a-5p|mmu-miR-467b-5p	7	23	18	38	50	17	12	51	82	52
mmu-miR-3068-3p	7	14	16	3	18	8	13	26	30	24
mmu-miR-183-3p	7	8	10	7	13	6	4	17	31	19
mmu-miR-24-3p	7	0	6	5	7	1	3	19	23	20
mmu-mir-30c-2	6.33333333333333	17	7.16666666666667	8	11.5	0	17	7.16666666666667	20	9.5
mmu-miR-296-5p	6	18	17	13	12	8	10	19	67	53
mmu-miR-1249-3p	6	4	10	15	13	8	5	28	38	37
mmu-miR-324-5p	6	9	8	5	8	1	2	13	15	13
mmu-miR-708-5p	6	19	12	5	8	4	9	33	20	16
mmu-miR-149-5p	6	10	12	10	18	7	3	14	29	24
mmu-miR-495-3p	6	4	7	7	4	7	8	5	20	12
mmu-miR-351-5p	6	11	10	2	4	1	3	12	34	36
mmu-miR-181c-5p	6	12	20	3	29	5	6	27	43	32
mmu-miR-378d	5.25	9.5	9.75	7	10	1.75	6	8	12.75	16.5
mmu-miR-466d-3p	5.2	8.9	17.2410256410256	9.2	13.8666666666667	6.41666666666667	9.57692307692308	16.0019230769231	18.3916666666667	23.1678321678322
mmu-miR-191-3p	5	13	1	9	6	3	3	11	32	17
mmu-miR-8114	5	1	1	1	5	2	1	4	8	13
mmu-miR-7a-1-3p	5	6	6	9	14	4	4	11	25	28
mmu-miR-335-5p	5	11	5	8	14	3	3	14	28	22
mmu-miR-450a-5p	5	5	2	1	9	5	7	16	16	8
mmu-miR-18a-5p	5	5	8	7	20	5	2	3	19	11
mmu-miR-497a-5p	5	8	17	15	30	10	8	42	27	27
mmu-miR-743b-5p	5	16	20	5	17	3	12	7	26	21
mmu-miR-130a-3p	5	19	21	25	31	21	17	24	62	41
mmu-miR-1306-5p	5	6	4	2	4	0	3	6	18	16
mmu-miR-484	5	58	19	40	37	9	16	78	66	77
mmu-miR-674-5p	5	6	4	5	6	5	1	12	5	11
mmu-miR-598-3p	5	8	4	10	14	9	13	14	19	31
mmu-miR-26a-2-3p	5	3	6	3	3	2	1	3	7	6
mmu-miR-300-3p	5	12	21	20	25	11	9	25	20	32
mmu-miR-467a-3p|mmu-miR-467d-3p	5	8	18	11.6666666666667	30.5	7	6	18.3333333333333	35.6666666666667	24.8333333333333
mmu-miR-1843a-3p	5	1	3	3	4	1	3	10	6	8
mmu-miR-331-3p	5	10	11	17	17	12	8	12	25	26
mmu-miR-15b-3p	5	5	4	4	6	6	9	17	21	23
mmu-miR-411-3p	5	6	12	8	12	3	6	14	17	19
mmu-miR-181c-3p	5	5	5	3	4	3	1	3	12	11
mmu-miR-99b-3p	5	7	10	8	12	7	14	21	41	22
mmu-miR-3970	4	10	7	6	9.5	4	5.5	12	13.5	14.5
mmu-miR-223-5p	4	8	10	3	3	3	5	4	10	10
mmu-miR-496a-3p	4	2	3	2	4	0	4	5	13	11
mmu-miR-330-5p	4	15	15	9	23	3	4	19	23	26
mmu-miR-148b-5p	4	4	3	2	7	1	3	4	11	10
mmu-miR-92b-3p	4	12	8.5	6	8	7	6	15	31	29.5
mmu-miR-193b-3p	4	2	7	4	14	4	1	10	3	10
mmu-miR-541-5p	4	14	15	16	10	14	9	18	29	46
mmu-miR-221-5p	4	5	3	4	5	1	1	22	21	27
mmu-miR-138-5p	4	0	3	0	4	0	0	4	2	4
mmu-miR-1981-3p	4	6	5	4	4	1	3	10	12	9
mmu-miR-1839-3p	4	4	7	11	21	6	6	12	31	17
mmu-miR-136-3p	4	9	5	8	20	8	6	2	13	16
mmu-miR-132-3p	4	9	12	15	16	14	8	19	14	24
mmu-miR-101c	3.5	7.5	12	7.5	15	6.5	7	6.5	11	15
mmu-miR-409-5p	3	9	8	6	8	2	3	10	16	20
mmu-miR-29b-2-5p	3	2	1	1	6	2	0	4	4	1
mmu-miR-467c-5p	3	4	3	8	9	5	3	8	20	19
mmu-miR-124-3p	3	5	17	8	8	1	9	5	13	11
mmu-miR-466c-5p	3	1	1	1	3	0	0	1	1	2
mmu-miR-3074-1-3p	3	0	0	0	0	0	0	0	0	1
mmu-miR-744-3p	3	3	0	2	2	1	0	4	8	5
mmu-miR-6911-3p	3	0	1	2	1	0	2	1	1	0
mmu-miR-1843b-3p	3	5	5	4	9	2	1	12	17	12
mmu-miR-362-5p	3	5	4	3	6	2	2	8	13	17
mmu-miR-421-3p	3	11	13	14	15	9	11	26	39	42
mmu-miR-202-5p	3	7	8	1	10	2	6	2	17	8
mmu-miR-700-3p	3	5	6	2	4	5	1	8	11	4
mmu-miR-467e-5p	3	11	5	10	10	6	9	20	36	32
mmu-miR-30b-3p	3	2	4	5	6	0	3	8	13	8
mmu-miR-5121	3	3	0	1	8	1	0	0	11	7
mmu-miR-741-3p	3	4	3	2	0	2	2	3	11	2
mmu-miR-16-2-3p	3	2	1	3	3	0	2	2	14	6
mmu-miR-674-3p	3	9	7	14	23	8	14	16	34	18
mmu-miR-339-3p	3	5	3	8	5	4	2	10	15	14
mmu-miR-106a-5p	3	0	2.5	0	1	0	0	0	4	4
mmu-miR-137-3p	3	5	6	2	14	4	6	9	20	17
mmu-let-7f-2-3p	3	4	2.5	2	5	2	3	3	10	10
mmu-miR-27a-5p	3	5	3	3	0	2	1	3	10	8
mmu-miR-7b-5p	3	2	2	0.5	5.5	0	0	5	2.5	3
mmu-miR-669a-5p|mmu-miR-669p-5p	3	4	4	4	4	2	4	21	23.5	19
mmu-miR-299a-3p|mmu-miR-299b-3p	3	5	5	6	3	4	4.5	8	8	8
mmu-miR-9-3p	3	9	11	15	14	8	10	11	29	23
mmu-miR-15a-5p	3	8	11	15	23	4	10	23	36	14
mmu-miR-181a-1-3p	3	7	9	6	7	2	0	3	15	10
mmu-miR-222-3p	3	6	8	2	11	4	8	20	25	24
mmu-miR-214-3p	3	6	5	12	12	8	8	25	26	25
mmu-miR-466b-3p|mmu-miR-466c-3p|mmu-miR-466p-3p	2.5	5	9.83333333333333	5.33333333333333	8.5	4.16666666666667	3.5	7	10.1666666666667	11.5
mmu-miR-669d-5p	2	4	0	1	3	0	0	5	7	7
mmu-miR-24-1-5p	2	3	8	8	2	1	7	8	18	17
mmu-miR-329-5p	2	3	2	5	10	3	2	9	11	15
mmu-miR-877-5p	2	1	1	0	1	1	0	3	6	2
mmu-miR-154-5p	2	1	3	2	7	1	0	5	6	4
mmu-miR-29c-5p	2	11	6	1	21	8	5	5	10	14
mmu-miR-215-5p	2	3	0	2	1	0	0	1	2	2
mmu-miR-874-3p	2	4	2	3	3	3	5	11	7	9
mmu-miR-669f-3p	2	6	1.25	1.125	2	0	0	5	11	2
mmu-miR-322-3p	2	12	14	13	16	7	3	17	24	17
mmu-miR-329-3p	2	3	5	10	6	2	1	16	9	16
mmu-miR-30c-1-3p	2	2	1	1	2	1	1	3	8	7
mmu-miR-363-3p	2	2	4	1	2	1	1	5	7	5
mmu-miR-3110-5p	2	0	1	1	1	2	0	0	2	2
mmu-miR-374c-5p	2	1.5	3.5	1.5	3.5	1.5	0.5	1	4	2
mmu-miR-455-3p	2	14	5	14	14	1	5	9	30	34
mmu-miR-136-5p	2	4	6	11	13	10	1	5	1	6
mmu-miR-143-5p	2	6	0	1	2	0	0	1	4	4
mmu-miR-342-5p	2	2	3	6	2	2	3	9	9	12
mmu-miR-337-5p	2	9	12	15	14	3	4	12	30	21
